INFO - train - Running command 'run_experiment'
INFO - train - Started run with ID "11"
2017-09-10 12:43:09.433335: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: Tesla M60
major: 5 minor: 2 memoryClockRate (GHz) 1.1775
pciBusID 0000:0b:00.0
Total memory: 7.93GiB
Free memory: 7.86GiB
2017-09-10 12:43:09.433380: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-09-10 12:43:09.433389: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-09-10 12:43:09.433411: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:0b:00.0)
run, epoch, step, training accuracy, validation accuracy
run: 0, epoch: 0, iteration: 0, train accuracy: 0.37, validation accuracy: 0.331584
run: 0, epoch: 0, iteration: 100, train accuracy: 0.91, validation accuracy: 0.872698
run: 0, epoch: 0, iteration: 200, train accuracy: 0.89, validation accuracy: 0.892498
run: 0, epoch: 0, iteration: 300, train accuracy: 0.87, validation accuracy: 0.894987
run: 0, epoch: 0, iteration: 400, train accuracy: 0.91, validation accuracy: 0.892805
run: 0, epoch: 0, iteration: 500, train accuracy: 0.85, validation accuracy: 0.89537
run: 0, epoch: 0, iteration: 600, train accuracy: 0.9, validation accuracy: 0.895792
run: 0, epoch: 0, iteration: 700, train accuracy: 0.88, validation accuracy: 0.897132
run: 0, epoch: 0, iteration: 800, train accuracy: 0.92, validation accuracy: 0.884839
run: 0, epoch: 0, iteration: 900, train accuracy: 0.88, validation accuracy: 0.898013
run: 0, epoch: 0, iteration: 1000, train accuracy: 0.88, validation accuracy: 0.896941
run: 0, epoch: 0, iteration: 1100, train accuracy: 0.89, validation accuracy: 0.897745
run: 0, epoch: 0, iteration: 1200, train accuracy: 0.88, validation accuracy: 0.89629
run: 0, epoch: 0, iteration: 1300, train accuracy: 0.9, validation accuracy: 0.88549
run: 0, epoch: 0, iteration: 1400, train accuracy: 0.92, validation accuracy: 0.899813
run: 0, epoch: 0, iteration: 1500, train accuracy: 0.97, validation accuracy: 0.898932
run: 0, epoch: 0, iteration: 1600, train accuracy: 0.91, validation accuracy: 0.898396
run: 0, epoch: 0, iteration: 1700, train accuracy: 0.93, validation accuracy: 0.89763
run: 0, epoch: 0, iteration: 1800, train accuracy: 0.87, validation accuracy: 0.900962
run: 0, epoch: 0, iteration: 1900, train accuracy: 0.95, validation accuracy: 0.901575
run: 0, epoch: 0, iteration: 2000, train accuracy: 0.88, validation accuracy: 0.8992
run: 0, epoch: 0, iteration: 2100, train accuracy: 0.81, validation accuracy: 0.885719
run: 0, epoch: 0, iteration: 2200, train accuracy: 0.92, validation accuracy: 0.901077
run: 0, epoch: 0, iteration: 2300, train accuracy: 0.88, validation accuracy: 0.904294
run: 0, epoch: 0, iteration: 2400, train accuracy: 0.89, validation accuracy: 0.891311
run: 0, epoch: 0, iteration: 2500, train accuracy: 0.91, validation accuracy: 0.904754
run: 0, epoch: 0, iteration: 2600, train accuracy: 0.9, validation accuracy: 0.903949
run: 0, epoch: 0, iteration: 2700, train accuracy: 0.94, validation accuracy: 0.904868
run: 0, epoch: 0, iteration: 2800, train accuracy: 0.88, validation accuracy: 0.894298
run: 0, epoch: 0, iteration: 2900, train accuracy: 0.9, validation accuracy: 0.901881
run: 0, epoch: 0, iteration: 3000, train accuracy: 0.9, validation accuracy: 0.897017
run: 0, epoch: 0, iteration: 3100, train accuracy: 0.92, validation accuracy: 0.893877
run: 0, epoch: 0, iteration: 3200, train accuracy: 0.92, validation accuracy: 0.906285
run: 0, epoch: 0, iteration: 3300, train accuracy: 0.9, validation accuracy: 0.908239
run: 0, epoch: 0, iteration: 3400, train accuracy: 0.86, validation accuracy: 0.902647
run: 0, epoch: 0, iteration: 3500, train accuracy: 0.89, validation accuracy: 0.906285
run: 0, epoch: 0, iteration: 3600, train accuracy: 0.97, validation accuracy: 0.906324
run: 0, epoch: 0, iteration: 3700, train accuracy: 0.88, validation accuracy: 0.886715
run: 0, epoch: 0, iteration: 3800, train accuracy: 0.87, validation accuracy: 0.897554
run: 0, epoch: 0, iteration: 3900, train accuracy: 0.89, validation accuracy: 0.906898
run: 0, epoch: 0, iteration: 4000, train accuracy: 0.91, validation accuracy: 0.90663
run: 0, epoch: 0, iteration: 4100, train accuracy: 0.95, validation accuracy: 0.907511
run: 0, epoch: 1, iteration: 0, train accuracy: 0.94, validation accuracy: 0.904141
run: 0, epoch: 1, iteration: 100, train accuracy: 0.93, validation accuracy: 0.903068
run: 0, epoch: 1, iteration: 200, train accuracy: 0.92, validation accuracy: 0.907473
run: 0, epoch: 1, iteration: 300, train accuracy: 0.88, validation accuracy: 0.905749
run: 0, epoch: 1, iteration: 400, train accuracy: 0.87, validation accuracy: 0.907856
run: 0, epoch: 1, iteration: 500, train accuracy: 0.92, validation accuracy: 0.904026
run: 0, epoch: 1, iteration: 600, train accuracy: 0.92, validation accuracy: 0.9064
run: 0, epoch: 1, iteration: 700, train accuracy: 0.88, validation accuracy: 0.904677
run: 0, epoch: 1, iteration: 800, train accuracy: 0.92, validation accuracy: 0.907013
run: 0, epoch: 1, iteration: 900, train accuracy: 0.95, validation accuracy: 0.905711
run: 0, epoch: 1, iteration: 1000, train accuracy: 0.92, validation accuracy: 0.908583
run: 0, epoch: 1, iteration: 1100, train accuracy: 0.88, validation accuracy: 0.907051
run: 0, epoch: 1, iteration: 1200, train accuracy: 0.88, validation accuracy: 0.909005
run: 0, epoch: 1, iteration: 1300, train accuracy: 0.9, validation accuracy: 0.904524
run: 0, epoch: 1, iteration: 1400, train accuracy: 0.92, validation accuracy: 0.898511
run: 0, epoch: 1, iteration: 1500, train accuracy: 0.91, validation accuracy: 0.90146
run: 0, epoch: 1, iteration: 1600, train accuracy: 0.9, validation accuracy: 0.899928
run: 0, epoch: 1, iteration: 1700, train accuracy: 0.91, validation accuracy: 0.906247
run: 0, epoch: 1, iteration: 1800, train accuracy: 0.98, validation accuracy: 0.905213
run: 0, epoch: 1, iteration: 1900, train accuracy: 0.92, validation accuracy: 0.908162
run: 0, epoch: 1, iteration: 2000, train accuracy: 0.83, validation accuracy: 0.902915
run: 0, epoch: 1, iteration: 2100, train accuracy: 0.91, validation accuracy: 0.905749
run: 0, epoch: 1, iteration: 2200, train accuracy: 0.94, validation accuracy: 0.906592
run: 0, epoch: 1, iteration: 2300, train accuracy: 0.91, validation accuracy: 0.905979
run: 0, epoch: 1, iteration: 2400, train accuracy: 0.92, validation accuracy: 0.906668
run: 0, epoch: 1, iteration: 2500, train accuracy: 0.93, validation accuracy: 0.906056
run: 0, epoch: 1, iteration: 2600, train accuracy: 0.93, validation accuracy: 0.891464
run: 0, epoch: 1, iteration: 2700, train accuracy: 0.85, validation accuracy: 0.907741
run: 0, epoch: 1, iteration: 2800, train accuracy: 0.92, validation accuracy: 0.904179
run: 0, epoch: 1, iteration: 2900, train accuracy: 0.85, validation accuracy: 0.903834
run: 0, epoch: 1, iteration: 3000, train accuracy: 0.89, validation accuracy: 0.899966
run: 0, epoch: 1, iteration: 3100, train accuracy: 0.87, validation accuracy: 0.906975
run: 0, epoch: 1, iteration: 3200, train accuracy: 0.94, validation accuracy: 0.907626
run: 0, epoch: 1, iteration: 3300, train accuracy: 0.87, validation accuracy: 0.902456
run: 0, epoch: 1, iteration: 3400, train accuracy: 0.91, validation accuracy: 0.905022
run: 0, epoch: 1, iteration: 3500, train accuracy: 0.85, validation accuracy: 0.906094
run: 0, epoch: 1, iteration: 3600, train accuracy: 0.95, validation accuracy: 0.907128
run: 0, epoch: 1, iteration: 3700, train accuracy: 0.94, validation accuracy: 0.905021
run: 0, epoch: 1, iteration: 3800, train accuracy: 0.96, validation accuracy: 0.906247
run: 0, epoch: 1, iteration: 3900, train accuracy: 0.87, validation accuracy: 0.891234
run: 0, epoch: 1, iteration: 4000, train accuracy: 0.94, validation accuracy: 0.895524
run: 0, epoch: 1, iteration: 4100, train accuracy: 0.91, validation accuracy: 0.908162
run: 0, epoch: 2, iteration: 0, train accuracy: 0.94, validation accuracy: 0.909005
run: 0, epoch: 2, iteration: 100, train accuracy: 0.89, validation accuracy: 0.895868
run: 0, epoch: 2, iteration: 200, train accuracy: 0.88, validation accuracy: 0.905864
run: 0, epoch: 2, iteration: 300, train accuracy: 0.95, validation accuracy: 0.902915
run: 0, epoch: 2, iteration: 400, train accuracy: 0.88, validation accuracy: 0.907894
run: 0, epoch: 2, iteration: 500, train accuracy: 0.94, validation accuracy: 0.906668
run: 0, epoch: 2, iteration: 600, train accuracy: 0.89, validation accuracy: 0.89537
run: 0, epoch: 2, iteration: 700, train accuracy: 0.91, validation accuracy: 0.904026
run: 0, epoch: 2, iteration: 800, train accuracy: 0.88, validation accuracy: 0.907664
run: 0, epoch: 2, iteration: 900, train accuracy: 0.9, validation accuracy: 0.908736
run: 0, epoch: 2, iteration: 1000, train accuracy: 0.9, validation accuracy: 0.901345
run: 0, epoch: 2, iteration: 1100, train accuracy: 0.89, validation accuracy: 0.907856
run: 0, epoch: 2, iteration: 1200, train accuracy: 0.89, validation accuracy: 0.906056
run: 0, epoch: 2, iteration: 1300, train accuracy: 0.89, validation accuracy: 0.907817
run: 0, epoch: 2, iteration: 1400, train accuracy: 0.86, validation accuracy: 0.88166
