INFO - train - Running command 'run_experiment'
INFO - train - Started run with ID "9"
2017-09-10 12:32:52.989187: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: Tesla M60
major: 5 minor: 2 memoryClockRate (GHz) 1.1775
pciBusID 0000:87:00.0
Total memory: 7.93GiB
Free memory: 7.86GiB
2017-09-10 12:32:52.989244: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-09-10 12:32:52.989253: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-09-10 12:32:52.989267: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla M60, pci bus id: 0000:87:00.0)
run, epoch, step, training accuracy, validation accuracy
0, 0, 0, 0.63, 0
0, 0, 100, 0.93, 0
0, 0, 200, 0.88, 0
0, 0, 300, 0.89, 0
0, 0, 400, 0.92, 0
0, 0, 500, 0.86, 0
0, 0, 600, 0.89, 0
0, 0, 700, 0.92, 0
0, 0, 800, 0.92, 0
0, 0, 900, 0.89, 0
0, 0, 1000, 0.91, 0
0, 0, 1100, 0.88, 0
0, 0, 1200, 0.87, 0
0, 0, 1300, 0.9, 0
0, 0, 1400, 0.91, 0
0, 0, 1500, 0.97, 0
0, 0, 1600, 0.9, 0
0, 0, 1700, 0.92, 0
0, 0, 1800, 0.86, 0
0, 0, 1900, 0.94, 0
0, 0, 2000, 0.87, 0
0, 0, 2100, 0.8, 0
0, 0, 2200, 0.93, 0
0, 0, 2300, 0.9, 0
0, 0, 2400, 0.89, 0
0, 0, 2500, 0.92, 0
0, 0, 2600, 0.92, 0
0, 0, 2700, 0.95, 0
0, 0, 2800, 0.89, 0
0, 0, 2900, 0.91, 0
0, 0, 3000, 0.91, 0
0, 0, 3100, 0.91, 0
0, 0, 3200, 0.94, 0
